epoch,lr,loss,iou,dice,val_loss,val_iou,val_dice,elapsed_train_time,elapsed_val_time,vram_current_training,vram_current_val,vram_peak_training,vram_peak_val,ram_used_training,ram_used_val
0.0,0.0001,1.154224496998199,0.00958364896745906,0.0018683544338963531,1.1080107250909215,9.525174575536515e-05,0.002912030651958655,256.0,81.0,0.0,0.0,75.0,75.0,2.0,2.0
1.0,0.0001,1.0838945904006696,0.07883681609873586,0.002687765731947751,1.0670528016126148,0.005010380591664559,0.005307693451297463,240.0,51.0,0.0,0.0,75.0,75.0,2.0,2.0
2.0,0.0001,1.0486276333462703,0.10761008340699972,0.004738954057677432,1.0373362155698478,0.010968403103804503,0.008935119060276825,250.0,46.0,0.0,0.0,75.0,75.0,2.0,2.0
3.0,0.0001,1.0255419595600808,0.12860503712752996,0.007739162448738645,1.025611501936207,0.005585718582616146,0.009542923814758322,244.0,46.0,0.0,0.0,75.0,75.0,2.0,2.0
4.0,0.0001,1.0027168874871242,0.14541372717491471,0.01672238603491396,1.0196698008545744,0.1547110484581868,0.023455930698634397,253.0,46.0,0.0,0.0,75.0,75.0,2.0,2.0
5.0,0.0001,0.9690940341312592,0.1753172625012214,0.04132033852201381,0.979244180170955,0.20328367446261403,0.03963526547634442,244.0,45.0,0.0,0.0,75.0,75.0,2.0,2.0
6.0,0.0001,0.9244532399389842,0.21904203661111216,0.10004306266012056,0.887985177607299,0.28692382123499083,0.13475118490126978,245.0,46.0,0.0,0.0,75.0,75.0,2.0,2.0
7.0,0.0001,0.8418810220613872,0.28405224180505667,0.2425626040368693,0.8306295936743093,0.282013073075278,0.22574658950919924,244.0,47.0,0.0,0.0,75.0,75.0,2.0,2.0
8.0,0.0001,0.7403030360806478,0.3378792948815778,0.4082826916041338,0.6846426225634928,0.32881505251463794,0.39811843486644777,252.0,47.0,0.0,0.0,75.0,75.0,2.0,2.0
9.0,0.0001,0.6599573200083759,0.3735965262340899,0.5010787928527533,0.6014088514961186,0.3769660698214868,0.48928578822155294,244.0,47.0,0.0,0.0,75.0,75.0,2.0,2.0
10.0,0.0001,0.6071867362073023,0.4129829579271276,0.5609379659743892,0.5917450632866987,0.38112401058675005,0.5062509470732848,250.0,46.0,0.0,0.0,75.0,75.0,2.0,2.0
11.0,0.0001,0.5760970733141246,0.429549068646465,0.5849669010852367,0.5750518754053539,0.3909791392730112,0.5171738511372566,246.0,47.0,0.0,0.0,75.0,75.0,2.0,2.0
12.0,0.0001,0.5665407318570842,0.4316189175693507,0.5904362938248199,0.5535015433356318,0.4054185391837111,0.541085859418906,246.0,47.0,0.0,0.0,75.0,75.0,2.0,2.0
13.0,0.0001,0.5443657227370837,0.45506515331750214,0.6143410716018728,0.5532925688822251,0.4131390411308449,0.5496610551865126,252.0,48.0,0.0,0.0,75.0,75.0,2.0,2.0
14.0,0.0001,0.5365846902132034,0.46338144411217685,0.6240824218121214,0.5523059249899382,0.40336598253888595,0.5415519385787693,252.0,53.0,0.0,0.0,75.0,75.0,2.0,2.0
15.0,0.0001,0.5209657566188133,0.4780824997883471,0.6384647082076772,0.5410796455079061,0.4219169252487545,0.5620974204623286,252.0,47.0,0.0,0.0,75.0,75.0,2.0,2.0
16.0,0.0001,0.5141935305644388,0.4854405670431804,0.6455468835746987,0.5488290384909533,0.4090295778565633,0.5464885014053057,251.0,46.0,0.0,0.0,75.0,75.0,2.0,2.0
17.0,0.0001,0.5054266786534493,0.4900374994039643,0.650957459994548,0.5232481159721821,0.4223703572470354,0.5640241367029571,253.0,47.0,0.0,0.0,75.0,75.0,2.0,2.0
